movie,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,genres,release_month
mortal engines,en,40.095,6.0,1751,2018-12-14,100000000,85287417,multiple_genres,12
mortdecai,en,13.263,5.4,1666,2015-01-23,60000000,30396134,multiple_genres,1
mother!,en,15.227,7.0,3458,2017-09-15,30000000,42531076,multiple_genres,9
movie 43,en,12.813,4.4,1332,2013-01-25,10000000,31164747,comedy,1
mr. peabody & sherman,en,12.813,6.6,1357,2014-03-07,145000000,269806430,multiple_genres,3
mr. turner,en,7.884,6.5,301,2014-12-19,14000000,25187026,multiple_genres,12
much ado about nothing,en,5.952,7.2,165,1993-05-07,8000000,22549338,drama,5
mud,en,12.507,7.0,1592,2013-04-26,10000000,31556959,drama,4
muppets most wanted,en,9.118,6.2,473,2014-03-21,55000000,79312301,multiple_genres,3
murder on the orient express,en,15.937,6.7,5406,2017-11-10,55000000,345922730,multiple_genres,11
mustang,tr,7.459,8.0,755,2015-11-20,1400000,5552584,drama,11
my best friend's wedding,zh,1.4,7.0,2,1997-06-20,46000000,298923419,multiple_genres,6
my big fat greek wedding 2,en,6.714,5.8,593,2016-03-25,18000000,92096558,multiple_genres,3
my girlfriend's boyfriend,en,4.378,5.9,68,2010-05-01,1400000,0,multiple_genres,5
my last day without you,de,2.007,5.8,5,2013-10-04,1000000,0,multiple_genres,10
my name is khan,hi,7.619,7.8,409,2010-02-12,8470000,42355526,action,2
my soul to take,en,9.808,5.4,247,2010-10-08,25000000,16727470,multiple_genres,10
my week with marilyn,en,12.081,6.7,741,2011-11-23,10000000,34240572,multiple_genres,11
n-secure,en,1.132,4.8,6,2010-10-15,1600000,2595644,multiple_genres,10
nebraska,en,9.521,7.4,967,2013-11-15,12000000,24761360,multiple_genres,11
need for speed,en,13.723,6.1,2389,2014-03-14,66000000,194169619,multiple_genres,3
neighbors,en,14.979,6.2,4536,2014-05-09,18000000,270944428,drama,5
neighbors 2: sorority rising,en,17.662,5.7,2829,2016-05-20,35000000,108757621,comedy,5
nerve,en,14.508,7.1,4590,2016-07-27,20000000,70652284,multiple_genres,7
never let me go,en,10.012,6.8,1294,2010-09-15,15000000,11173718,drama,9
newlyweds,en,1.973,5.4,7,2012-01-13,9000,4584,multiple_genres,1
night at the museum: secret of the tomb,en,20.064,6.1,3536,2014-12-19,127000000,353756621,multiple_genres,12
night of the living dead,en,0.6,6.5,1,1990-10-19,4200000,5835247,horror,10
night school,en,12.786,6.0,775,2018-09-28,29000000,103008792,documentary,9
nightcrawler,en,25.597,7.7,5860,2014-10-31,8500000,50334418,multiple_genres,10
nine,en,0.637,9.0,1,2009-12-18,80000000,53508858,horror,12
nine dead,en,8.882,5.1,125,2009-12-31,2000000,0,multiple_genres,12
no escape,en,19.005,6.8,1296,2015-08-26,5000000,42844516,multiple_genres,8
no good deed,en,14.519,5.8,286,2014-09-12,13200000,54323210,multiple_genres,9
no man's land,en,0.6,7.0,1,2001-12-07,1000000,2684207,western,12
no strings attached,en,14.203,6.2,2612,2011-01-21,25000000,149228078,multiple_genres,1
noah,en,0.6,7.6,11,2014-03-28,130000000,352831065,animation,3
nocturnal animals,en,16.19,7.4,4192,2016-11-18,22500000,32398681,multiple_genres,11
non-stop,en,2.264,5.6,23,2014-02-28,50000000,222383055,multiple_genres,2
norm of the north,en,9.325,4.2,192,2016-01-15,18000000,30535660,multiple_genres,1
not cool,en,2.246,4.2,50,2014-09-19,800000,35688,multiple_genres,9
not safe for work,en,4.48,5.2,64,2014-12-31,2500000,0,thriller,12
nothing,en,0.6,6.0,1,2003-12-31,4000000,63180,drama,12
november,et,2.519,7.6,38,2005-07-22,250000,191862,multiple_genres,7
